UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;TransportedSoldier;IsTowable;ProductionYear;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;Resource_Tickets;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_Groupe_AT_FR";"Unit_Groupe_AT_FR";"ENationaliteAllied";"FR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";7.0;0.0;;24.75;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"Groupe_AT_FR";0;1981;15;25;;;"tank_D";"['infantry']";"EDefaultFactoriesInfantry";55;2;0;;;"Descriptor_OrderAvailability_Groupe_AT_FR";"WeaponDescriptor_Groupe_AT_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Gun_Group_UK";"Unit_Gun_Group_UK";"ENationaliteAllied";"UK";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";4.0;0.0;;24.75;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"Gun_Group_UK";0;1981;15;25;;;"tank_D";"['infantry_half']";"EDefaultFactoriesInfantry";20;2;0;;;"Descriptor_OrderAvailability_Gun_Group_UK";"WeaponDescriptor_Gun_Group_UK";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HEMTT";"Unit_HEMTT";"ENationaliteAllied";"US";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;;90.0;;0.5;33.75;69.75;3.0;;;;42.45;10;0.13;15.0;"HEMTT";0;1982;1;1;;;"tank_A";"['supply']";"EDefaultFactoriesLogistic";80;1;1;"Descriptor_Unit_M113A2_supply_US";2500.0;"Descriptor_OrderAvailability_HEMTT";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_AANF1_FR";"Unit_HMGteam_AANF1_FR";"ENationaliteAllied";"FR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_AANF1_FR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";10;1;0;;;"Descriptor_OrderAvailability_HMGteam_AANF1_FR";"WeaponDescriptor_HMGteam_AANF1_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_AANF1_para_FR";"Unit_HMGteam_AANF1_para_FR";"ENationaliteAllied";"FR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_AANF1_para_FR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_AANF1_FR";;"Descriptor_OrderAvailability_HMGteam_AANF1_para_FR";"WeaponDescriptor_HMGteam_AANF1_para_FR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_AGS17_DDR";"Unit_HMGteam_AGS17_DDR";"ENationaliteAxis";"DDR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_AGS17_DDR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";35;1;0;;;"Descriptor_OrderAvailability_HMGteam_AGS17_DDR";"WeaponDescriptor_HMGteam_AGS17_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_AGS17_SOV";"Unit_HMGteam_AGS17_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_AGS17_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";35;1;0;;;"Descriptor_OrderAvailability_HMGteam_AGS17_SOV";"WeaponDescriptor_HMGteam_AGS17_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_AGS17_VDV_SOV";"Unit_HMGteam_AGS17_VDV_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_AGS17_VDV_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";40;1;0;"Descriptor_Unit_HMGteam_AGS17_SOV";;"Descriptor_OrderAvailability_HMGteam_AGS17_VDV_SOV";"WeaponDescriptor_HMGteam_AGS17_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_KPVT_SOV";"Unit_HMGteam_KPVT_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_KPVT_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";20;1;0;"Descriptor_Unit_HMGteam_NSV_SOV";;"Descriptor_OrderAvailability_HMGteam_KPVT_SOV";"WeaponDescriptor_HMGteam_KPVT_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M2HB_AB_US";"Unit_HMGteam_M2HB_AB_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M2HB_AB_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";25;1;0;"Descriptor_Unit_HMGteam_M2HB_US";;"Descriptor_OrderAvailability_HMGteam_M2HB_AB_US";"WeaponDescriptor_HMGteam_M2HB_AB_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M2HB_FR";"Unit_HMGteam_M2HB_FR";"ENationaliteAllied";"FR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M2HB_FR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";20;1;0;"Descriptor_Unit_HMGteam_AANF1_para_FR";;"Descriptor_OrderAvailability_HMGteam_M2HB_FR";"WeaponDescriptor_HMGteam_M2HB_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M2HB_US";"Unit_HMGteam_M2HB_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M2HB_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";20;1;0;"Descriptor_Unit_HMGteam_M60_AB_US";;"Descriptor_OrderAvailability_HMGteam_M2HB_US";"WeaponDescriptor_HMGteam_M2HB_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M2HB_para_FR";"Unit_HMGteam_M2HB_para_FR";"ENationaliteAllied";"FR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M2HB_para_FR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";25;1;0;"Descriptor_Unit_HMGteam_M2HB_FR";;"Descriptor_OrderAvailability_HMGteam_M2HB_para_FR";"WeaponDescriptor_HMGteam_M2HB_para_FR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M2HB_para_UK";"Unit_HMGteam_M2HB_para_UK";"ENationaliteAllied";"UK";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M2HB_para_UK";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";25;1;0;"Descriptor_Unit_HMGteam_MAG_para_UK";;"Descriptor_OrderAvailability_HMGteam_M2HB_para_UK";"WeaponDescriptor_HMGteam_M2HB_para_UK";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M60_AB_US";"Unit_HMGteam_M60_AB_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M60_AB_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_M60_US";;"Descriptor_OrderAvailability_HMGteam_M60_AB_US";"WeaponDescriptor_HMGteam_M60_AB_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_M60_US";"Unit_HMGteam_M60_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_M60_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";10;1;0;;;"Descriptor_OrderAvailability_HMGteam_M60_US";"WeaponDescriptor_HMGteam_M60_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_MAG_UK";"Unit_HMGteam_MAG_UK";"ENationaliteAllied";"UK";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_MAG_UK";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";10;1;0;;;"Descriptor_OrderAvailability_HMGteam_MAG_UK";"WeaponDescriptor_HMGteam_MAG_UK";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_MAG_para_UK";"Unit_HMGteam_MAG_para_UK";"ENationaliteAllied";"UK";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_MAG_para_UK";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_MAG_UK";;"Descriptor_OrderAvailability_HMGteam_MAG_para_UK";"WeaponDescriptor_HMGteam_MAG_para_UK";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_MG3_FJ_RFA";"Unit_HMGteam_MG3_FJ_RFA";"ENationaliteAllied";"RFA";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_MG3_FJ_RFA";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_MG3_RFA";;"Descriptor_OrderAvailability_HMGteam_MG3_FJ_RFA";"WeaponDescriptor_HMGteam_MG3_FJ_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_MG3_RFA";"Unit_HMGteam_MG3_RFA";"ENationaliteAllied";"RFA";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_MG3_RFA";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";5;1;0;;;"Descriptor_OrderAvailability_HMGteam_MG3_RFA";"WeaponDescriptor_HMGteam_MG3_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_Mk19_AB_US";"Unit_HMGteam_Mk19_AB_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_Mk19_AB_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";40;1;0;"Descriptor_Unit_HMGteam_Mk19_US";;"Descriptor_OrderAvailability_HMGteam_Mk19_AB_US";"WeaponDescriptor_HMGteam_Mk19_AB_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_Mk19_US";"Unit_HMGteam_Mk19_US";"ENationaliteAllied";"US";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_Mk19_US";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";35;1;0;;;"Descriptor_OrderAvailability_HMGteam_Mk19_US";"WeaponDescriptor_HMGteam_Mk19_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_NSV_DDR";"Unit_HMGteam_NSV_DDR";"ENationaliteAxis";"DDR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_NSV_DDR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";20;1;0;"Descriptor_Unit_HMGteam_PKM_FJ_DDR";;"Descriptor_OrderAvailability_HMGteam_NSV_DDR";"WeaponDescriptor_HMGteam_NSV_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_NSV_SOV";"Unit_HMGteam_NSV_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_NSV_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";20;1;0;"Descriptor_Unit_HMGteam_PKM_VDV_SOV";;"Descriptor_OrderAvailability_HMGteam_NSV_SOV";"WeaponDescriptor_HMGteam_NSV_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_PKM_DDR";"Unit_HMGteam_PKM_DDR";"ENationaliteAxis";"DDR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_PKM_DDR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";10;1;0;;;"Descriptor_OrderAvailability_HMGteam_PKM_DDR";"WeaponDescriptor_HMGteam_PKM_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_PKM_FJ_DDR";"Unit_HMGteam_PKM_FJ_DDR";"ENationaliteAxis";"DDR";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_PKM_FJ_DDR";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_PKM_DDR";;"Descriptor_OrderAvailability_HMGteam_PKM_FJ_DDR";"WeaponDescriptor_HMGteam_PKM_FJ_DDR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_PKM_SOV";"Unit_HMGteam_PKM_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_PKM_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";10;1;0;;;"Descriptor_OrderAvailability_HMGteam_PKM_SOV";"WeaponDescriptor_HMGteam_PKM_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HMGteam_PKM_VDV_SOV";"Unit_HMGteam_PKM_VDV_SOV";"ENationaliteAxis";"SOV";3.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"HMGteam_PKM_VDV_SOV";0;0;15;25;;;"tank_D";"['AT']";"EDefaultFactoriesInfantry";15;1;0;"Descriptor_Unit_HMGteam_PKM_SOV";;"Descriptor_OrderAvailability_HMGteam_PKM_VDV_SOV";"WeaponDescriptor_HMGteam_PKM_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HS30_Panzermorser_120mm_RFA";"Unit_HS30_Panzermorser_120mm_RFA";"ENationaliteAllied";"RFA";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;;45.0;;1.2000000000000002;18.0;45.0;8.0;300;380.0;;42.45;10;0.13;15.0;"HS30_Panzermorser_120mm_RFA";0;1987;60;60;;;"tank_A";"['mortar']";"EDefaultFactoriesSupport";85;2;0;;;"Descriptor_OrderAvailability_HS30_Panzermorser_120mm_RFA";"WeaponDescriptor_HS30_Panzermorser_120mm_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_HeimatschutzJager_RFA";"Unit_HeimatschutzJager_RFA";"ENationaliteAllied";"RFA";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";11.0;0.0;;24.75;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"HeimatschutzJager_RFA";0;1981;15;25;;;"tank_B";"['infantry']";"EDefaultFactoriesInfantry";45;2;0;;;"Descriptor_OrderAvailability_HeimatschutzJager_RFA";"WeaponDescriptor_HeimatschutzJager_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_D20_152mm_DDR";"Unit_Howz_D20_152mm_DDR";"ENationaliteAxis";"DDR";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_D20_152mm_DDR";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";125;4;0;"Descriptor_Unit_Howz_D30_122mm_DDR";;"Descriptor_OrderAvailability_Howz_D20_152mm_DDR";"WeaponDescriptor_Howz_D20_152mm_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_D20_152mm_SOV";"Unit_Howz_D20_152mm_SOV";"ENationaliteAxis";"SOV";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_D20_152mm_SOV";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";125;4;0;"Descriptor_Unit_Howz_D30_122mm_SOV";;"Descriptor_OrderAvailability_Howz_D20_152mm_SOV";"WeaponDescriptor_Howz_D20_152mm_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_D30_122mm_DDR";"Unit_Howz_D30_122mm_DDR";"ENationaliteAxis";"DDR";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_D30_122mm_DDR";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";130;4;0;;;"Descriptor_OrderAvailability_Howz_D30_122mm_DDR";"WeaponDescriptor_Howz_D30_122mm_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_D30_122mm_SOV";"Unit_Howz_D30_122mm_SOV";"ENationaliteAxis";"SOV";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_D30_122mm_SOV";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";130;4;0;"Descriptor_Unit_Mortier_2S12_120mm_SOV";;"Descriptor_OrderAvailability_Howz_D30_122mm_SOV";"WeaponDescriptor_Howz_D30_122mm_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_D30_122mm_VDV_SOV";"Unit_Howz_D30_122mm_VDV_SOV";"ENationaliteAxis";"SOV";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_D30_122mm_VDV_SOV";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";130;4;0;;;"Descriptor_OrderAvailability_Howz_D30_122mm_VDV_SOV";"WeaponDescriptor_Howz_D30_122mm_VDV_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_M101_105mm_RFA";"Unit_Howz_M101_105mm_RFA";"ENationaliteAllied";"RFA";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_M101_105mm_RFA";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";100;4;0;;;"Descriptor_OrderAvailability_Howz_M101_105mm_RFA";"WeaponDescriptor_Howz_M101_105mm_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_M102_105mm_US";"Unit_Howz_M102_105mm_US";"ENationaliteAllied";"US";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_M102_105mm_US";1;0;60;60;;;"tank_D";"['howitzer']";"EDefaultFactoriesSupport";100;4;0;;;"Descriptor_OrderAvailability_Howz_M102_105mm_US";"WeaponDescriptor_Howz_M102_105mm_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_M46_130mm_DDR";"Unit_Howz_M46_130mm_DDR";"ENationaliteAxis";"DDR";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_M46_130mm_DDR";1;0;60;60;;;"tank_C";"['howitzer']";"EDefaultFactoriesSupport";145;4;0;"Descriptor_Unit_Howz_D20_152mm_DDR";;"Descriptor_OrderAvailability_Howz_M46_130mm_DDR";"WeaponDescriptor_Howz_M46_130mm_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Howz_M46_130mm_SOV";"Unit_Howz_M46_130mm_SOV";"ENationaliteAxis";"SOV";1.5;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;42.45;10;0.13;15.0;"Howz_M46_130mm_SOV";1;0;60;60;;;"tank_C";"['howitzer']";"EDefaultFactoriesSupport";145;4;0;;;"Descriptor_OrderAvailability_Howz_M46_130mm_SOV";"WeaponDescriptor_Howz_M46_130mm_SOV";;;;;;;;;;;;;;;;;;
