UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;Dangerousness;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;ProductionYear;IsTransporter;IsPlane;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_HvyScout_SOV";"Unit_HvyScout_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";7.0;0.0;11.94;;24.75;;0.0;13.5;69.75;0.1;;;;170;40;0.56;4.0;1981;0;0;3;3;;;"tank_C";"['reco']";"Recons";45;0;"Descriptor_Unit_Scout_SOV";;"Descriptor_OrderAvailability_HvyScout_SOV";"WeaponDescriptor_HvyScout_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Iltis_MILAN_RFA";"Unit_Iltis_MILAN_RFA";"Allied";"RFA";2.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;12.0;;99.0;;0.36363636363636354;33.75;69.75;3.0;300;800.0;;80;40;0.26;8.0;0;0;0;1;1;;;"tank_D";"['AT']";"Tanks";25;0;;;"Descriptor_OrderAvailability_Iltis_MILAN_RFA";"WeaponDescriptor_Iltis_MILAN_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Iltis_RFA";"Unit_Iltis_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;;;99.0;;0.36363636363636354;33.75;69.75;3.0;85;700.0;;80;20;0.26;8.0;1984;0;0;1;2;;;"tank_D";"['hq']";"Logistic";100;1;;;"Descriptor_OrderAvailability_Iltis_RFA";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Iltis_reco_RFA";"Unit_Iltis_reco_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;10.0;;99.0;;0.36363636363636354;33.75;69.75;3.0;319;850.0;;170;40;0.56;4.0;0;0;0;1;1;;;"tank_C";"['reco']";"Recons";40;0;;;"Descriptor_OrderAvailability_Iltis_reco_RFA";"WeaponDescriptor_Iltis_reco_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Iltis_trans_RFA";"Unit_Iltis_trans_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;;;72.0;;0.875;33.75;69.75;4.0;65;1000.0;;40;10;0.13;15.0;1984;1;0;1;1;;;"tank_C";"['transport']";"Infantry";15;1;;;"Descriptor_OrderAvailability_Iltis_trans_RFA";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Jager_Aufk_RFA";"Unit_Jager_Aufk_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";11.0;0.0;26.369999999999997;;24.75;;0.0;13.5;69.75;0.1;;;;170;40;0.56;4.0;1981;0;0;4;4;;;"tank_B";"['reco']";"Recons";75;0;"Descriptor_Unit_Scout_RFA";;"Descriptor_OrderAvailability_Jager_Aufk_RFA";"WeaponDescriptor_Jager_Aufk_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Jager_CMD_RFA";"Unit_Jager_CMD_RFA";"Allied";"RFA";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";4.0;0.0;12.84;;24.75;;0.0;13.5;69.75;0.1;;;;80;20;0.26;8.0;1981;0;0;3;3;;;"tank_C";"['hq']";"Infantry";130;0;;;"Descriptor_OrderAvailability_Jager_CMD_RFA";"WeaponDescriptor_Jager_CMD_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Jager_RFA";"Unit_Jager_RFA";"Allied";"RFA";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";11.0;0.0;26.369999999999997;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1981;0;0;4;4;;;"tank_B";"['infantry']";"Infantry";55;0;"Descriptor_Unit_Jager_CMD_RFA";;"Descriptor_OrderAvailability_Jager_RFA";"WeaponDescriptor_Jager_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Jaguar_1_RFA";"Unit_Jaguar_1_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;80.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;350;500.0;;80;40;0.26;8.0;1987;0;0;1;1;;;"tank_A";"['AT']";"Tanks";160;0;"Descriptor_Unit_KanJagdPanzer_RFA";;"Descriptor_OrderAvailability_Jaguar_1_RFA";"WeaponDescriptor_Jaguar_1_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Jaguar_2_RFA";"Unit_Jaguar_2_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;84.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;350;500.0;;80;40;0.26;8.0;1987;0;0;1;1;;;"tank_A";"['AT']";"Tanks";170;0;"Descriptor_Unit_Jaguar_1_RFA";;"Descriptor_OrderAvailability_Jaguar_2_RFA";"WeaponDescriptor_Jaguar_2_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_KSM_CMD_RFA";"Unit_KSM_CMD_RFA";"Allied";"RFA";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;2.0;;24.75;;0.0;13.5;69.75;0.1;;;;80;20;0.26;8.0;0;0;0;2;2;;;"tank_D";"['hq']";"Infantry";105;0;;;"Descriptor_OrderAvailability_KSM_CMD_RFA";"WeaponDescriptor_KSM_CMD_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_KanJagdPanzer_RFA";"Unit_KanJagdPanzer_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;17.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;960;500.0;;80;40;0.26;8.0;1981;0;0;1;1;;;"tank_D";"['AT']";"Tanks";45;0;;;"Descriptor_OrderAvailability_KanJagdPanzer_RFA";"WeaponDescriptor_KanJagdPanzer_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_KdA_CMD_DDR";"Unit_KdA_CMD_DDR";"Axis";"DDR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";6.0;0.0;5.88;;24.75;;0.0;13.5;69.75;0.1;;;;80;20;0.26;8.0;0;0;0;2;2;;;"tank_D";"['hq']";"Infantry";115;0;;;"Descriptor_OrderAvailability_KdA_CMD_DDR";"WeaponDescriptor_KdA_CMD_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_KdA_DDR";"Unit_KdA_DDR";"Axis";"DDR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";14.0;0.0;30.68;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;5;5;;;"tank_A";"['infantry']";"Infantry";65;0;"Descriptor_Unit_KdA_CMD_DDR";;"Descriptor_OrderAvailability_KdA_DDR";"WeaponDescriptor_KdA_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_LRRP_RFA";"Unit_LRRP_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";4.0;0.0;25.1;;24.75;;0.0;13.5;69.75;0.1;;;;170;40;0.56;4.0;1981;0;0;4;4;;;"tank_B";"['reco']";"Recons";75;0;;;"Descriptor_OrderAvailability_LRRP_RFA";"WeaponDescriptor_LRRP_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_LRRP_US";"Unit_LRRP_US";"Allied";"US";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";6.0;0.0;23.0;;24.75;;0.0;13.5;69.75;0.1;;;;170;40;0.56;4.0;1981;0;0;4;4;;;"tank_B";"['reco']";"Recons";70;0;"Descriptor_Unit_Scout_US";;"Descriptor_OrderAvailability_LRRP_US";"WeaponDescriptor_LRRP_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Lars_2_RFA";"Unit_Lars_2_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;21.666666666666668;;81.0;;0.6666666666666667;33.75;69.75;3.0;1000;500.0;;40;10;0.13;15.0;1986;0;0;2;1;;;"tank_D";"['mlrs']";"Support";200;0;;;"Descriptor_OrderAvailability_Lars_2_RFA";"WeaponDescriptor_Lars_2_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_1A1_CMD_RFA";"Unit_Leopard_1A1_CMD_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_7";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_2";10.0;0.0;83.55000000000001;;58.5;;0.6923076923076923;22.5;45.0;7.0;1500;500.0;;80;20;0.26;8.0;0;0;0;13;13;;;"tank_B";"['hq']";"Tanks";160;0;;;"Descriptor_OrderAvailability_Leopard_1A1_CMD_RFA";"WeaponDescriptor_Leopard_1A1_CMD_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_1A1_RFA";"Unit_Leopard_1A1_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_7";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_2";10.0;0.0;83.55000000000001;;58.5;;0.6923076923076923;22.5;45.0;7.0;1000;600.0;;80;20;0.26;8.0;1985;0;0;5;5;;;"tank_D";"['armor']";"Tanks";60;0;"Descriptor_Unit_Leopard_1A1_CMD_RFA";;"Descriptor_OrderAvailability_Leopard_1A1_RFA";"WeaponDescriptor_Leopard_1A1_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_1A5_CMD_RFA";"Unit_Leopard_1A5_CMD_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_7";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_2";10.0;0.0;111.44999999999999;;58.5;;0.6923076923076923;22.5;45.0;7.0;1500;500.0;;80;20;0.26;8.0;0;0;0;13;13;;;"tank_B";"['hq']";"Tanks";180;0;;;"Descriptor_OrderAvailability_Leopard_1A5_CMD_RFA";"WeaponDescriptor_Leopard_1A5_CMD_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_1A5_RFA";"Unit_Leopard_1A5_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_7";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_2";10.0;0.0;111.44999999999999;;58.5;;0.6923076923076923;22.5;45.0;7.0;1350;450.0;;80;20;0.26;8.0;0;0;0;9;9;;;"tank_C";"['armor']";"Tanks";80;0;"Descriptor_Unit_Leopard_1A5_CMD_RFA";;"Descriptor_OrderAvailability_Leopard_1A5_RFA";"WeaponDescriptor_Leopard_1A5_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_2A3_CMD_RFA";"Unit_Leopard_2A3_CMD_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_19";"ArmorDescriptor_Blindage_9";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";10.0;0.0;122.55000000000001;;63.0;;0.5714285714285714;22.5;69.75;5.0;1500;500.0;;80;20;0.26;8.0;0;0;0;17;17;;;"tank_A";"['hq']";"Tanks";365;0;;;"Descriptor_OrderAvailability_Leopard_2A3_CMD_RFA";"WeaponDescriptor_Leopard_2A3_CMD_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Leopard_2A3_RFA";"Unit_Leopard_2A3_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_19";"ArmorDescriptor_Blindage_9";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";10.0;0.0;122.55000000000001;;63.0;;0.5714285714285714;22.5;69.75;5.0;1350;450.0;;80;20;0.26;8.0;0;0;0;17;17;;;"tank_A";"['armor']";"Tanks";265;0;"Descriptor_Unit_Leopard_2A3_CMD_RFA";;"Descriptor_OrderAvailability_Leopard_2A3_RFA";"WeaponDescriptor_Leopard_2A3_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Luchs_A1_RFA";"Unit_Luchs_A1_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;19.65;;72.0;;0.875;33.75;69.75;4.0;500;800.0;;120;40;0.4;5.0;1987;0;0;1;1;;;"tank_C";"['reco']";"Recons";50;0;"Descriptor_Unit_Iltis_reco_RFA";;"Descriptor_OrderAvailability_Luchs_A1_RFA";"WeaponDescriptor_Luchs_A1_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M106A2_HOWZ_US";"Unit_M106A2_HOWZ_US";"Allied";"US";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";10.0;0.0;26.666666666666668;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;500.0;;40;10;0.13;15.0;1964;0;0;5;1;;;"tank_A";"['mortar']";"Support";70;0;"Descriptor_Unit_M125_HOWZ_US";;"Descriptor_OrderAvailability_M106A2_HOWZ_US";"WeaponDescriptor_M106A2_HOWZ_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M109A2_HOWZ_US";"Unit_M109A2_HOWZ_US";"Allied";"US";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;56.666666666666664;;45.0;;1.0;18.0;45.0;8.0;500;350.0;;40;10;0.13;15.0;1976;0;0;4;1;;;"tank_B";"['howitzer']";"Support";160;0;;;"Descriptor_OrderAvailability_M109A2_HOWZ_US";"WeaponDescriptor_M109A2_HOWZ_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M109A3G_HOWZ_RFA";"Unit_M109A3G_HOWZ_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;23.333333333333332;;45.0;;1.0;18.0;45.0;8.0;500;350.0;;40;10;0.13;15.0;0;0;0;4;1;;;"tank_B";"['howitzer']";"Support";170;0;;;"Descriptor_OrderAvailability_M109A3G_HOWZ_RFA";"WeaponDescriptor_M109A3G_HOWZ_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M110A2_HOWZ_US";"Unit_M110A2_HOWZ_US";"Allied";"US";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";10.0;0.0;60.0;;45.0;;1.0;18.0;45.0;8.0;1000;500.0;;40;10;0.13;15.0;1978;0;0;4;1;;;"tank_B";"['howitzer']";"Support";180;0;"Descriptor_Unit_M109A2_HOWZ_US";;"Descriptor_OrderAvailability_M110A2_HOWZ_US";"WeaponDescriptor_M110A2_HOWZ_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M110A2_Howz_RFA";"Unit_M110A2_Howz_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";10.0;0.0;60.0;;45.0;;1.2000000000000002;18.0;45.0;8.0;800;400.0;;40;10;0.13;15.0;0;0;0;4;1;;;"tank_B";"['howitzer']";"Support";180;0;"Descriptor_Unit_M109A3G_HOWZ_RFA";;"Descriptor_OrderAvailability_M110A2_Howz_RFA";"WeaponDescriptor_M110A2_Howz_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A1G_RFA";"Unit_M113A1G_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;5.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;40;10;0.13;15.0;1964;1;0;1;1;;;"tank_B";"['transport']";"Tanks";20;0;;;"Descriptor_OrderAvailability_M113A1G_RFA";"WeaponDescriptor_M113A1G_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A1G_reco_RFA";"Unit_M113A1G_reco_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;5.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;1100;550.0;;120;40;0.4;5.0;0;0;0;1;1;;;"tank_D";"['reco']";"Recons";20;0;;;"Descriptor_OrderAvailability_M113A1G_reco_RFA";"WeaponDescriptor_M113A1G_reco_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A1G_supply_RFA";"Unit_M113A1G_supply_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;;;58.5;;0.6923076923076923;22.5;45.0;7.0;;;;40;10;0.13;15.0;0;0;0;1;1;;;"tank_C";"['supply']";"Logistic";20;0;"Descriptor_Unit_Unimog_S_404_RFA";500.0;"Descriptor_OrderAvailability_M113A1G_supply_RFA";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A1_TOW_US";"Unit_M113A1_TOW_US";"Allied";"US";1.5;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";10.0;0.0;34.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;120;40;0.4;5.0;1989;0;0;1;1;;;"tank_C";"['reco']";"Recons";40;0;"Descriptor_Unit_M113_ACAV_US";;"Descriptor_OrderAvailability_M113A1_TOW_US";"WeaponDescriptor_M113A1_TOW_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A2_supply_US";"Unit_M113A2_supply_US";"Allied";"US";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;;;58.5;;0.6923076923076923;22.5;45.0;7.0;;;;40;10;0.13;15.0;1964;0;0;1;1;;;"tank_C";"['supply']";"Logistic";20;0;"Descriptor_Unit_M35_supply_US";500.0;"Descriptor_OrderAvailability_M113A2_supply_US";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113A3_US";"Unit_M113A3_US";"Allied";"US";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;10.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;40;10;0.13;15.0;1987;1;0;1;1;;;"tank_B";"['transport']";"Tanks";20;0;;;"Descriptor_OrderAvailability_M113A3_US";"WeaponDescriptor_M113A3_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113_ACAV_US";"Unit_M113_ACAV_US";"Allied";"US";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;27.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;360;480.0;;120;40;0.4;5.0;1987;0;0;1;1;;;"tank_B";"['reco']";"Recons";75;0;;;"Descriptor_OrderAvailability_M113_ACAV_US";"WeaponDescriptor_M113_ACAV_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113_Dragon_US";"Unit_M113_Dragon_US";"Allied";"US";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;50.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;40;10;0.13;15.0;1987;1;0;1;1;;;"tank_A";"['transport']";"Tanks";30;0;"Descriptor_Unit_M113A3_US";;"Descriptor_OrderAvailability_M113_Dragon_US";"WeaponDescriptor_M113_Dragon_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113_GreenArcher_RFA";"Unit_M113_GreenArcher_RFA";"Allied";"RFA";1.5;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;5.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;220;40;0.73;3.0;1964;1;0;1;1;;;"tank_C";"['reco']";"Recons";40;0;"Descriptor_Unit_M113A1G_reco_RFA";;"Descriptor_OrderAvailability_M113_GreenArcher_RFA";"WeaponDescriptor_M113_GreenArcher_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113_GreenArcher_UK";"Unit_M113_GreenArcher_UK";"Axis";"UK";1.5;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;5.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;220;40;0.73;3.0;1964;1;0;1;1;;;"tank_C";"['reco']";"Recons";40;0;;;"Descriptor_OrderAvailability_M113_GreenArcher_UK";"WeaponDescriptor_M113_GreenArcher_UK";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M113_PzMorser_RFA";"Unit_M113_PzMorser_RFA";"Allied";"RFA";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;5.666666666666667;;58.5;;0.6923076923076923;22.5;45.0;7.0;300;400.0;;40;10;0.13;15.0;0;0;0;5;1;;;"tank_A";"['mortar']";"Support";80;0;;;"Descriptor_OrderAvailability_M113_PzMorser_RFA";"WeaponDescriptor_M113_PzMorser_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M125_HOWZ_US";"Unit_M125_HOWZ_US";"Allied";"US";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";10.0;0.0;15.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;360;480.0;;40;10;0.13;15.0;1964;0;0;3;1;;;"tank_C";"['mortar']";"Support";35;0;;;"Descriptor_OrderAvailability_M125_HOWZ_US";"WeaponDescriptor_M125_HOWZ_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M151A2_scout_US";"Unit_M151A2_scout_US";"Allied";"US";1.5;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;10.0;;63.0;;1.1428571428571428;33.75;69.75;4.0;65;1000.0;;170;40;0.56;4.0;1984;0;0;1;1;;;"tank_C";"['reco']";"Recons";40;1;;;"Descriptor_OrderAvailability_M151A2_scout_US";"WeaponDescriptor_M151A2_scout_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M151_MUTT_CMD_US";"Unit_M151_MUTT_CMD_US";"Allied";"US";1.5;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;;;45.0;;2.0;18.0;45.0;8.0;65;1000.0;;80;20;0.26;8.0;1984;0;0;1;2;;;"tank_D";"['hq']";"Logistic";100;1;;;"Descriptor_OrderAvailability_M151_MUTT_CMD_US";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M151_MUTT_trans_US";"Unit_M151_MUTT_trans_US";"Allied";"US";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";5.0;0.0;;;72.0;;0.875;33.75;69.75;4.0;65;1000.0;;40;10;0.13;15.0;1984;1;0;1;1;;;"tank_C";"['transport']";"Infantry";15;1;;;"Descriptor_OrderAvailability_M151_MUTT_trans_US";;;;;;;;;;;;;;;;;;;
"Descriptor_Unit_M163_PIVADS_US";"Unit_M163_PIVADS_US";"Allied";"US";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;27.84;;54.0;;0.8333333333333333;22.5;45.0;7.0;350;500.0;;60;250;0.2;10.0;1984;0;0;1;4;;;"tank_B";"['AA']";"AT";60;0;;;"Descriptor_OrderAvailability_M163_PIVADS_US";"WeaponDescriptor_M163_PIVADS_US";;;;;;;;;;;;;;;;;;
